ID,Variant,Scenario,Kind,Cross-case classes,Assignment,Cases,Participants,Objects,Expected,Outcome,COTC,Proper completion,Task coverage,Branch coverage,Sender progression,Receiver progression,Decision consistency,Violated properties,COTC violations,Proper completion violations,Uncovered tasks,Uncovered branches,Sender violations,Receiver violations,Decision violations,Markings,Edges,Truncated,Max markings,Max depth,Duration ms,Reason
CS01,default,no-object sequence,construct,,default,1,RoleA=1; RoleB=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,9,11,no,50000,100,68.5,
CS02,default,single-object creation with multiple initial states and common identifier,construct,,default,1,RoleA=1; RoleB=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,15,16,no,50000,100,26.7,
CS03,default,two-object one-to-one creation,construct,,default,1,RoleA=1; RoleB=1,ClassA=1; ClassB=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,8,7,no,50000,100,19.0,
CS04,default,two-object one-to-many creation,construct,,default,1,RoleA=1; RoleB=1,ClassA=1; ClassB=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,11,12,no,50000,100,22.4,
CS05,default,two-object many-to-many creation,construct,,default,1,RoleA=1; RoleB=1,ClassA=1; ClassB=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,12,14,no,50000,100,12.8,
CS06,default,two-object creation without association,construct,,default,1,RoleA=1; RoleB=1,ClassA=1; ClassB=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,12,14,no,50000,100,51.9,
CS07,default,three-object mixed dependencies,construct,,default,1,RoleA=1; RoleB=1,ClassA=1; ClassB=1; ClassC=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,13,14,no,50000,100,19.1,
CS08,default,communication with different-role local transitions and forwarding,construct,,default,1,RoleA=1; RoleB=1; RoleC=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,11,10,no,50000,100,15.5,
CS09,default,multiple compatible receiver states,construct,,default,1,RoleA=1; RoleB=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,21,25,no,50000,100,21.2,
CS10,default,multi-class synchronization followed by forwarding,construct,,default,1,RoleA=1; RoleB=1; RoleC=1,ClassA=1; ClassB=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,18,20,no,50000,100,19.1,
CS11,default,synchronization with multiple source states,construct,,default,1,RoleA=1; RoleB=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,17,19,no,50000,100,15.0,
CS12,default,state reachable by synchronization or local transition,construct,,default,1,RoleA=1; RoleB=1; RoleC=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,19,20,no,50000,100,26.3,
CS13,default,combined task on same class,construct,,default,1,RoleA=1; RoleB=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,6,5,no,50000,100,16.8,
CS14,default,combined task across classes,construct,,default,1,RoleA=1; RoleB=1,ClassA=1; ClassB=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,12,14,no,50000,100,8.0,
CS15,default,event-based gateway with local non-creational decision,construct,,default,1,RoleA=1; RoleB=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,15,14,no,50000,100,23.5,
CS16,default,guarded exclusive gateway,construct,,default,1,RoleA=1; RoleB=1; RoleC=1; RoleD=1; RoleE=1; RoleF=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,21,22,no,50000,100,18.3,
CS17,default,exclusive gateway with affected role identification,construct,,default,1,RoleA=1; RoleB=1; RoleC=1; RoleD=1; RoleE=1; RoleF=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,35,42,no,50000,100,29.4,
CS18,default,parallel independent object branches,construct,,default,1,RoleA=1; RoleB=1,ClassA=1; ClassB=1; ClassC=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,54,111,no,50000,100,28.1,
CS19,default,event-based gateway loop,construct,,default,1,RoleA=1; RoleB=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,15,22,no,50000,100,5.3,
CS20,default,exclusive gateway loop,construct,,default,1,RoleA=1; RoleB=1,ClassA=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,32,41,no,50000,100,32.6,
IS01,default,order fulfillment,integrated,,default,1,Buyer=1; Seller=1; Warehouse=1,Invoice=1; Order=1; Shipment=1; Shipment Request=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,104,199,no,50000,100,85.1,
IS02,default,item purchase plain,integrated,,default,1,Buyer=1; Seller=1,Item=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,15,15,no,50000,100,10.2,
IS02,fixed_2cases_1item,item purchase plain,integrated,Item,fixed,2,Buyer=2; Seller=1,Item=1,violates,violates,no,yes,yes,yes,no,no,yes,caseOptionToComplete; senderProgression; receiverProgression,30,0,0,0,10,10,0,153,273,no,300000,100,39.0,
IS02,fixed_2cases_2items,item purchase plain,integrated,Item,fixed,2,Buyer=2; Seller=1,Item=2,violates,violates,no,yes,yes,yes,yes,no,yes,caseOptionToComplete; receiverProgression,40,0,0,0,0,40,0,776,1714,no,300000,100,230.5,
IS02,unique_1case_1item,item purchase plain,integrated,Item,unique,1,Buyer=1; Seller=1,Item=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,16,17,no,300000,100,9.9,
IS02,unrestricted_2cases_1item,item purchase plain,integrated,Item,unrestricted,2,Buyer=2; Seller=1,Item=1,violates,violates,no,yes,yes,yes,no,no,yes,caseOptionToComplete; senderProgression; receiverProgression,168,0,0,0,40,56,0,438,801,no,300000,100,89.8,
IS02,unrestricted_2cases_2items,item purchase plain,integrated,Item,unrestricted,2,Buyer=2; Seller=1,Item=2,violates,violates,no,yes,yes,yes,yes,no,yes,caseOptionToComplete; receiverProgression,224,0,0,0,0,224,0,2452,5420,no,300000,100,570.3,
IS03,default,item purchase optimistic,integrated,,default,1,Buyer=1; Seller=1,Item=1; Order=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,28,33,no,50000,100,18.3,
IS03,fixed_2cases_1item,item purchase optimistic,integrated,Item,fixed,2,Buyer=2; Seller=1,Item=1; Order=2,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,998,2165,no,300000,100,302.3,
IS03,fixed_2cases_2items,item purchase optimistic,integrated,Item,fixed,2,Buyer=2; Seller=1,Item=2; Order=2,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,5304,13676,no,300000,100,1796.3,
IS03,unique_1case_1item,item purchase optimistic,integrated,Item,unique,1,Buyer=1; Seller=1,Item=1; Order=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,29,35,no,300000,100,12.9,
IS03,unrestricted_2cases_1item,item purchase optimistic,integrated,Item,unrestricted,2,Buyer=2; Seller=1,Item=1; Order=2,violates,violates,no,yes,yes,yes,yes,no,yes,caseOptionToComplete; receiverProgression,276,0,0,0,0,276,0,2880,6213,no,300000,100,813.3,
IS03,unrestricted_2cases_2items,item purchase optimistic,integrated,Item,unrestricted,2,Buyer=2; Seller=1,Item=2; Order=2,violates,violates,no,yes,yes,yes,yes,no,yes,caseOptionToComplete; receiverProgression,1104,0,0,0,0,1104,0,16844,42832,no,300000,100,5755.8,
IS04,default,item purchase pessimistic,integrated,,default,1,Buyer=1; Seller=1,Item=1; Reservation=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,22,24,no,50000,100,18.2,
IS04,fixed_2cases_1reservation,item purchase pessimistic,integrated,Item; Reservation,fixed,2,Buyer=2; Seller=1,Item=1; Reservation=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,228,413,no,300000,100,73.3,
IS04,fixed_2cases_2reservations,item purchase pessimistic,integrated,Item; Reservation,fixed,2,Buyer=2; Seller=1,Item=2; Reservation=2,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,2275,5008,no,300000,100,845.4,
IS04,unique_1case_1reservation,item purchase pessimistic,integrated,Item; Reservation,unique,1,Buyer=1; Seller=1,Item=1; Reservation=1,holds,holds,yes,yes,yes,yes,yes,yes,yes,,0,0,0,0,0,0,0,23,26,no,300000,100,14.2,
IS04,unrestricted_2cases_1reservation,item purchase pessimistic,integrated,Item; Reservation,unrestricted,2,Buyer=2; Seller=1,Item=1; Reservation=1,violates,violates,no,yes,yes,yes,yes,no,yes,caseOptionToComplete; receiverProgression,24,0,0,0,0,8,0,750,1437,no,300000,100,220.6,
IS04,unrestricted_2cases_2reservations,item purchase pessimistic,integrated,Item; Reservation,unrestricted,2,Buyer=2; Seller=1,Item=2; Reservation=2,violates,violates,no,yes,yes,yes,yes,no,yes,caseOptionToComplete; receiverProgression,192,0,0,0,0,64,0,7975,17960,no,300000,100,2985.4,
WS01,default,sender-side blocking,witness,,default,1,Buyer=1; Seller=1; Warehouse=1,Order=1,violates,violates,yes,yes,yes,yes,no,yes,yes,senderProgression,0,0,0,0,3,0,0,14,15,no,50000,100,5.1,
WS02,default,receiver-side blocking,witness,,default,1,Buyer=1; Seller=1; Warehouse=1,Order=1,violates,violates,yes,yes,yes,yes,yes,no,yes,receiverProgression,0,0,0,0,0,2,0,17,18,no,50000,100,6.0,
WS03,default,unreachable behavior,witness,,default,1,Buyer=1; Seller=1; Warehouse=1,Order=1,violates,violates,yes,yes,no,no,yes,yes,yes,taskCoverage; branchCoverage,0,0,1,1,0,0,0,13,12,no,50000,100,7.2,
WS04,default,decision misalignment,witness,,default,1,Buyer=1; Seller=1; Warehouse=1,Order=1,violates,violates,yes,yes,yes,yes,yes,yes,no,decisionConsistency,0,0,0,0,0,0,2,30,36,no,50000,100,9.7,
WS05,default,completion loss,witness,,default,1,Buyer=1; Seller=1; Warehouse=1,Order=1,violates,violates,no,yes,yes,yes,yes,yes,yes,caseOptionToComplete,5,0,0,0,0,0,0,20,20,no,50000,100,8.4,
